DATE,ZULASSIGE GESAMTMASSE IN KG,PERSONENKRAFTWAGEN,DARUNTER WOHNMOBILE
202301,10001 - 12000,4.0,4.0
202301,12001 - 14000,1.0,1.0
202301,14001 - 16000,3.0,3.0
202301,16001 - 18000,,
202301,18001 - 20000,,
202301,20001 - 22000,,
202301,22001 - 24000,,
202301,24001 - 26000,,
202301,26001 - 28000,,
202301,28001 - 30000,,
202301,30001 - 40000,,
202301,40001 - 50000,,
202301,50001 UND MEHR,,
202301,UNBEKANNT,5.0,4.0
202302,BIS 500,,
202302,501 - 800,,
202302,801 - 1000,1.0,
202302,1001 - 1200,1.0,
202302,1201 - 1400,4886.0,
202302,1401 - 1700,25824.0,
202302,1701 - 2000,56597.0,
202302,2001 - 2500,73428.0,22.0
202302,2501 - 2800,24814.0,95.0
202302,2801 - 3000,6547.0,308.0
202302,3001 - 3500,13043.0,3921.0
202302,3501 - 4000,240.0,235.0
202302,4001 - 5000,620.0,562.0
202302,5001 - 6000,129.0,85.0
202302,6001 - 7000,15.0,14.0
202302,7001 - 7500,47.0,45.0
202302,7501 - 8000,,
202302,8001 - 9000,1.0,1.0
202302,9001 - 10000,,
202302,10001 - 12000,2.0,2.0
202302,12001 - 14000,,
202302,14001 - 16000,3.0,3.0
202302,16001 - 18000,,
202302,18001 - 20000,,
202302,20001 - 22000,,
202302,22001 - 24000,,
202302,24001 - 26000,,
202302,26001 - 28000,,
202302,28001 - 30000,,
202302,30001 - 40000,,
202302,40001 - 50000,,
202302,50001 UND MEHR,,
202302,UNBEKANNT,12.0,11.0
202303,BIS 500,,
202303,501 - 800,1.0,
202303,801 - 1000,1.0,
202303,1001 - 1200,1.0,
202303,1201 - 1400,9559.0,
202303,1401 - 1700,32931.0,
202303,1701 - 2000,74299.0,
202303,2001 - 2500,104819.0,62.0
202303,2501 - 2800,30922.0,119.0
202303,2801 - 3000,9476.0,544.0
202303,3001 - 3500,17768.0,6803.0
202303,3501 - 4000,381.0,373.0
202303,4001 - 5000,942.0,870.0
202303,5001 - 6000,150.0,108.0
202303,6001 - 7000,16.0,16.0
202303,7001 - 7500,59.0,57.0
202303,7501 - 8000,,
202303,8001 - 9000,,
202303,9001 - 10000,2.0,1.0
202303,10001 - 12000,8.0,8.0
202303,12001 - 14000,,
202303,14001 - 16000,5.0,5.0
202303,16001 - 18000,,
202303,18001 - 20000,,
202303,20001 - 22000,,
202303,22001 - 24000,,
202303,24001 - 26000,,
202303,26001 - 28000,,
202303,28001 - 30000,,
202303,30001 - 40000,,
202303,40001 - 50000,,
202303,50001 UND MEHR,,
202303,UNBEKANNT,21.0,20.0
202304,BIS 500,,
202304,501 - 800,2.0,
202304,801 - 1000,6.0,
202304,1001 - 1200,1.0,
202304,1201 - 1400,7422.0,
202304,1401 - 1700,24007.0,
202304,1701 - 2000,51241.0,
202304,2001 - 2500,76015.0,22.0
202304,2501 - 2800,22237.0,95.0
202304,2801 - 3000,6966.0,564.0
202304,3001 - 3500,13811.0,5580.0
202304,3501 - 4000,294.0,285.0
202304,4001 - 5000,741.0,659.0
202304,5001 - 6000,108.0,81.0
202304,6001 - 7000,12.0,12.0
202304,7001 - 7500,51.0,51.0
202304,7501 - 8000,,
202304,8001 - 9000,2.0,1.0
202304,9001 - 10000,2.0,2.0
202304,10001 - 12000,8.0,7.0
202304,12001 - 14000,,
202304,14001 - 16000,4.0,4.0
202304,16001 - 18000,,
202304,18001 - 20000,,
202304,20001 - 22000,,
202304,22001 - 24000,,
202304,24001 - 26000,,
202304,26001 - 28000,,
202304,28001 - 30000,,
202304,30001 - 40000,,
202304,40001 - 50000,,
202304,50001 UND MEHR,,
202304,UNBEKANNT,17.0,17.0
202305,BIS 500,,
202305,501 - 800,1.0,
202305,801 - 1000,155.0,
202305,1001 - 1200,1.0,
202305,1201 - 1400,8335.0,1.0
202305,1401 - 1700,26209.0,
202305,1701 - 2000,59723.0,
202305,2001 - 2500,96773.0,32.0
202305,2501 - 2800,28173.0,85.0
202305,2801 - 3000,9101.0,399.0
202305,3001 - 3500,17102.0,6570.0
202305,3501 - 4000,384.0,373.0
202305,4001 - 5000,800.0,725.0
202305,5001 - 6000,99.0,75.0
202305,6001 - 7000,11.0,11.0
202305,7001 - 7500,71.0,67.0
202305,7501 - 8000,,
202305,8001 - 9000,,
202305,9001 - 10000,1.0,1.0
202305,10001 - 12000,4.0,4.0
202305,12001 - 14000,2.0,2.0
202305,14001 - 16000,3.0,3.0
202305,16001 - 18000,,
202305,18001 - 20000,,
202305,20001 - 22000,,
202305,22001 - 24000,,
202305,24001 - 26000,,
202305,26001 - 28000,,
202305,28001 - 30000,,
202305,30001 - 40000,,
202305,40001 - 50000,,
202305,50001 UND MEHR,,
202305,UNBEKANNT,18.0,17.0
202306,BIS 500,,
202306,501 - 800,,
202306,801 - 1000,6.0,
202306,1001 - 1200,1.0,
202306,1201 - 1400,10133.0,
202306,1401 - 1700,33805.0,
202306,1701 - 2000,72247.0,
202306,2001 - 2500,105665.0,36.0
202306,2501 - 2800,31208.0,107.0
202306,2801 - 3000,9648.0,497.0
202306,3001 - 3500,16146.0,5168.0
202306,3501 - 4000,292.0,284.0
202306,4001 - 5000,714.0,641.0
202306,5001 - 6000,140.0,106.0
202306,6001 - 7000,25.0,25.0
202306,7001 - 7500,73.0,73.0
202306,7501 - 8000,,
202306,8001 - 9000,1.0,1.0
202306,9001 - 10000,2.0,2.0
202306,10001 - 12000,6.0,6.0
202306,12001 - 14000,1.0,1.0
202306,14001 - 16000,5.0,5.0
202306,16001 - 18000,,
202306,18001 - 20000,,
202306,20001 - 22000,,
202306,22001 - 24000,,
202306,24001 - 26000,,
202306,26001 - 28000,,
202306,28001 - 30000,,
202306,30001 - 40000,,
202306,40001 - 50000,,
202306,50001 UND MEHR,,
202306,UNBEKANNT,21.0,21.0
202307,BIS 500,,
202307,501 - 800,1.0,
202307,801 - 1000,10.0,
202307,1001 - 1200,,
202307,1201 - 1400,9804.0,
202307,1401 - 1700,29714.0,
202307,1701 - 2000,61665.0,1.0
202307,2001 - 2500,91325.0,26.0
202307,2501 - 2800,26903.0,106.0
202307,2801 - 3000,7280.0,228.0
202307,3001 - 3500,15349.0,4971.0
202307,3501 - 4000,286.0,278.0
202307,4001 - 5000,743.0,646.0
202307,5001 - 6000,104.0,66.0
202307,6001 - 7000,8.0,8.0
202307,7001 - 7500,53.0,52.0
202307,7501 - 8000,1.0,1.0
202307,8001 - 9000,2.0,
202307,9001 - 10000,2.0,1.0
202307,10001 - 12000,2.0,2.0
202307,12001 - 14000,,
202307,14001 - 16000,3.0,3.0
202307,16001 - 18000,,
202307,18001 - 20000,,
202307,20001 - 22000,,
202307,22001 - 24000,,
202307,24001 - 26000,,
202307,26001 - 28000,,
202307,28001 - 30000,,
202307,30001 - 40000,,
202307,40001 - 50000,,
202307,50001 UND MEHR,,
202307,UNBEKANNT,22.0,22.0
202308,BIS 500,,
202308,501 - 800,,
202308,801 - 1000,270.0,
202308,1001 - 1200,,
202308,1201 - 1400,13368.0,
202308,1401 - 1700,28942.0,
202308,1701 - 2000,63379.0,
202308,2001 - 2500,106424.0,27.0
202308,2501 - 2800,36298.0,98.0
202308,2801 - 3000,8130.0,170.0
202308,3001 - 3500,15582.0,3663.0
202308,3501 - 4000,261.0,253.0
202308,4001 - 5000,609.0,533.0
202308,5001 - 6000,86.0,50.0
202308,6001 - 7000,11.0,11.0
202308,7001 - 7500,36.0,35.0
202308,7501 - 8000,1.0,1.0
202308,8001 - 9000,,
202308,9001 - 10000,2.0,2.0
202308,10001 - 12000,3.0,3.0
202308,12001 - 14000,1.0,1.0
202308,14001 - 16000,3.0,3.0
202308,16001 - 18000,,
202308,18001 - 20000,,
202308,20001 - 22000,,
202308,22001 - 24000,,
202308,24001 - 26000,,
202308,26001 - 28000,,
202308,28001 - 30000,,
202308,30001 - 40000,,
202308,40001 - 50000,,
202308,50001 UND MEHR,,
202308,UNBEKANNT,11.0,11.0
202309,BIS 500,,
202309,501 - 800,2.0,
202309,801 - 1000,24.0,
202309,1001 - 1200,1.0,
202309,1201 - 1400,9591.0,
202309,1401 - 1700,27880.0,
202309,1701 - 2000,60533.0,
202309,2001 - 2500,81260.0,25.0
202309,2501 - 2800,23856.0,80.0
202309,2801 - 3000,7500.0,172.0
202309,3001 - 3500,12900.0,3226.0
202309,3501 - 4000,262.0,258.0
202309,4001 - 5000,517.0,450.0
202309,5001 - 6000,92.0,57.0
202309,6001 - 7000,9.0,9.0
202309,7001 - 7500,50.0,46.0
202309,7501 - 8000,,
202309,8001 - 9000,,
202309,9001 - 10000,1.0,1.0
202309,10001 - 12000,4.0,4.0
202309,12001 - 14000,1.0,1.0
202309,14001 - 16000,1.0,1.0
202309,16001 - 18000,,
202309,18001 - 20000,,
202309,20001 - 22000,,
202309,22001 - 24000,,
202309,24001 - 26000,,
202309,26001 - 28000,,
202309,28001 - 30000,,
202309,30001 - 40000,,
202309,40001 - 50000,,
202309,50001 UND MEHR,,
202309,UNBEKANNT,18.0,18.0
202310,BIS 500,,
202310,501 - 800,2.0,
202310,801 - 1000,22.0,
202310,1001 - 1200,,
202310,1201 - 1400,10268.0,
202310,1401 - 1700,26918.0,
202310,1701 - 2000,53389.0,
202310,2001 - 2500,81043.0,13.0
202310,2501 - 2800,25636.0,57.0
202310,2801 - 3000,7577.0,196.0
202310,3001 - 3500,13201.0,2830.0
202310,3501 - 4000,214.0,204.0
202310,4001 - 5000,511.0,426.0
202310,5001 - 6000,79.0,49.0
202310,6001 - 7000,15.0,12.0
202310,7001 - 7500,58.0,56.0
202310,7501 - 8000,,
202310,8001 - 9000,,
202310,9001 - 10000,1.0,1.0
202310,10001 - 12000,8.0,8.0
202310,12001 - 14000,2.0,2.0
202310,14001 - 16000,5.0,5.0
202310,16001 - 18000,,
202310,18001 - 20000,,
202310,20001 - 22000,,
202310,22001 - 24000,,
202310,24001 - 26000,,
202310,26001 - 28000,,
202310,28001 - 30000,,
202310,30001 - 40000,,
202310,40001 - 50000,,
202310,50001 UND MEHR,,
202310,UNBEKANNT,10.0,9.0
202311,BIS 500,,
202311,501 - 800,,
202311,801 - 1000,8.0,
202311,1001 - 1200,1.0,
202311,1201 - 1400,8527.0,
202311,1401 - 1700,30619.0,
202311,1701 - 2000,62055.0,
202311,2001 - 2500,91329.0,26.0
202311,2501 - 2800,28898.0,66.0
202311,2801 - 3000,9132.0,182.0
202311,3001 - 3500,14316.0,2555.0
202311,3501 - 4000,192.0,187.0
202311,4001 - 5000,473.0,409.0
202311,5001 - 6000,82.0,38.0
202311,6001 - 7000,14.0,14.0
202311,7001 - 7500,40.0,40.0
202311,7501 - 8000,,
202311,8001 - 9000,,
202311,9001 - 10000,,
202311,10001 - 12000,1.0,1.0
202311,12001 - 14000,1.0,1.0
202311,14001 - 16000,1.0,1.0
202311,16001 - 18000,,
202311,18001 - 20000,,
202311,20001 - 22000,,
202311,22001 - 24000,,
202311,24001 - 26000,,
202311,26001 - 28000,,
202311,28001 - 30000,,
202311,30001 - 40000,,
202311,40001 - 50000,,
202311,50001 UND MEHR,,
202311,UNBEKANNT,12.0,11.0
202312,BIS 500,,
202312,501 - 800,1.0,
202312,801 - 1000,4.0,
202312,1001 - 1200,,
202312,1201 - 1400,8101.0,
202312,1401 - 1700,29921.0,
202312,1701 - 2000,60941.0,
202312,2001 - 2500,89656.0,17.0
202312,2501 - 2800,29132.0,34.0
202312,2801 - 3000,8598.0,233.0
202312,3001 - 3500,14700.0,2508.0
202312,3501 - 4000,180.0,174.0
202312,4001 - 5000,505.0,413.0
202312,5001 - 6000,94.0,52.0
202312,6001 - 7000,9.0,9.0
202312,7001 - 7500,26.0,23.0
202312,7501 - 8000,,
202312,8001 - 9000,,
202312,9001 - 10000,,
202312,10001 - 12000,,
202312,12001 - 14000,,
202312,14001 - 16000,2.0,2.0
202312,16001 - 18000,,
202312,18001 - 20000,,
202312,20001 - 22000,,
202312,22001 - 24000,,
202312,24001 - 26000,,
202312,26001 - 28000,,
202312,28001 - 30000,,
202312,30001 - 40000,,
202312,40001 - 50000,,
202312,50001 UND MEHR,,
202312,UNBEKANNT,13.0,11.0
202401,BIS 500,,
202401,501 - 800,,
202401,801 - 1000,5.0,
202401,1001 - 1200,,
202401,1201 - 1400,7125.0,
202401,1401 - 1700,28226.0,
202401,1701 - 2000,60331.0,
202401,2001 - 2500,74953.0,11.0
202401,2501 - 2800,18914.0,31.0
202401,2801 - 3000,7933.0,155.0
202401,3001 - 3500,15121.0,2697.0
202401,3501 - 4000,217.0,215.0
202401,4001 - 5000,531.0,461.0
202401,5001 - 6000,108.0,62.0
202401,6001 - 7000,19.0,17.0
202401,7001 - 7500,51.0,50.0
202401,7501 - 8000,,
202401,8001 - 9000,,
202401,9001 - 10000,1.0,1.0
202401,10001 - 12000,1.0,
202401,12001 - 14000,,
202401,14001 - 16000,2.0,2.0
202401,16001 - 18000,,
202401,18001 - 20000,,
202401,20001 - 22000,,
202401,22001 - 24000,,
202401,24001 - 26000,,
202401,26001 - 28000,,
202401,28001 - 30000,,
202401,30001 - 40000,,
202401,40001 - 50000,,
202401,50001 UND MEHR,,
202401,UNBEKANNT,15.0,15.0
202402,BIS 500,,
202402,501 - 800,1.0,
202402,801 - 1000,3.0,
202402,1001 - 1200,1.0,
202402,1201 - 1400,9116.0,
202402,1401 - 1700,25001.0,
202402,1701 - 2000,56707.0,
202402,2001 - 2500,80467.0,17.0
202402,2501 - 2800,20732.0,61.0
202402,2801 - 3000,7905.0,331.0
202402,3001 - 3500,16288.0,4300.0
202402,3501 - 4000,238.0,236.0
202402,4001 - 5000,742.0,637.0
202402,5001 - 6000,109.0,59.0
202402,6001 - 7000,17.0,17.0
202402,7001 - 7500,41.0,39.0
202402,7501 - 8000,,
202402,8001 - 9000,,
202402,9001 - 10000,,
202402,10001 - 12000,5.0,5.0
202402,12001 - 14000,1.0,1.0
202402,14001 - 16000,3.0,3.0
202402,16001 - 18000,,
202402,18001 - 20000,,
202402,20001 - 22000,,
202402,22001 - 24000,,
202402,24001 - 26000,,
202402,26001 - 28000,,
202402,28001 - 30000,,
202402,30001 - 40000,,
202402,40001 - 50000,,
202402,50001 UND MEHR,,
202402,UNBEKANNT,11.0,11.0
202403,BIS 500,,
202403,501 - 800,,
202403,801 - 1000,2.0,
202403,1001 - 1200,1.0,
202403,1201 - 1400,10070.0,
202403,1401 - 1700,34717.0,
202403,1701 - 2000,72058.0,
202403,2001 - 2500,92204.0,24.0
202403,2501 - 2800,24607.0,72.0
202403,2801 - 3000,9148.0,291.0
202403,3001 - 3500,19355.0,8137.0
202403,3501 - 4000,379.0,368.0
202403,4001 - 5000,1030.0,946.0
202403,5001 - 6000,156.0,115.0
202403,6001 - 7000,13.0,13.0
202403,7001 - 7500,74.0,73.0
202403,7501 - 8000,,
202403,8001 - 9000,2.0,2.0
202403,9001 - 10000,1.0,1.0
202403,10001 - 12000,7.0,7.0
202403,12001 - 14000,,
202403,14001 - 16000,2.0,2.0
202403,16001 - 18000,,
202403,18001 - 20000,,
202403,20001 - 22000,,
202403,22001 - 24000,,
202403,24001 - 26000,,
202403,26001 - 28000,,
202403,28001 - 30000,,
202403,30001 - 40000,,
202403,40001 - 50000,,
202403,50001 UND MEHR,,
202403,UNBEKANNT,18.0,18.0
202404,BIS 500,,
202404,501 - 800,,
202404,801 - 1000,1.0,
202404,1001 - 1200,,
202404,1201 - 1400,6153.0,
202404,1401 - 1700,29763.0,
202404,1701 - 2000,66626.0,1.0
202404,2001 - 2500,87616.0,15.0
202404,2501 - 2800,24115.0,105.0
202404,2801 - 3000,8452.0,289.0
202404,3001 - 3500,18749.0,7319.0
202404,3501 - 4000,330.0,322.0
202404,4001 - 5000,1005.0,894.0
202404,5001 - 6000,165.0,123.0
202404,6001 - 7000,13.0,13.0
202404,7001 - 7500,77.0,74.0
202404,7501 - 8000,,
202404,8001 - 9000,1.0,1.0
202404,9001 - 10000,3.0,3.0
202404,10001 - 12000,8.0,7.0
202404,12001 - 14000,,
202404,14001 - 16000,3.0,3.0
202404,16001 - 18000,,
202404,18001 - 20000,,
202404,20001 - 22000,,
202404,22001 - 24000,,
202404,24001 - 26000,,
202404,26001 - 28000,,
202404,28001 - 30000,,
202404,30001 - 40000,,
202404,40001 - 50000,,
202404,50001 UND MEHR,,
202404,UNBEKANNT,22.0,21.0
202405,BIS 500,,
202405,501 - 800,,
202405,801 - 1000,3.0,
202405,1001 - 1200,,
202405,1201 - 1400,5358.0,
202405,1401 - 1700,30946.0,
202405,1701 - 2000,64529.0,
202405,2001 - 2500,87370.0,8.0
202405,2501 - 2800,21011.0,110.0
202405,2801 - 3000,8724.0,252.0
202405,3001 - 3500,16959.0,6735.0
202405,3501 - 4000,332.0,320.0
202405,4001 - 5000,935.0,874.0
202405,5001 - 6000,140.0,106.0
202405,6001 - 7000,19.0,19.0
202405,7001 - 7500,72.0,70.0
202405,7501 - 8000,,
202405,8001 - 9000,2.0,2.0
202405,9001 - 10000,1.0,1.0
202405,10001 - 12000,8.0,7.0
202405,12001 - 14000,,
202405,14001 - 16000,3.0,3.0
202405,16001 - 18000,,
202405,18001 - 20000,,
202405,20001 - 22000,,
202405,22001 - 24000,,
202405,24001 - 26000,,
202405,26001 - 28000,,
202405,28001 - 30000,,
202405,30001 - 40000,,
202405,40001 - 50000,,
202405,50001 UND MEHR,,
202405,UNBEKANNT,13.0,11.0
202406,BIS 500,,
202406,501 - 800,,
202406,801 - 1000,8.0,
202406,1001 - 1200,,
202406,1201 - 1400,7551.0,
202406,1401 - 1700,42216.0,
202406,1701 - 2000,84232.0,
202406,2001 - 2500,109196.0,14.0
202406,2501 - 2800,23984.0,63.0
202406,2801 - 3000,9765.0,205.0
202406,3001 - 3500,18836.0,5789.0
202406,3501 - 4000,309.0,299.0
202406,4001 - 5000,929.0,830.0
202406,5001 - 6000,143.0,103.0
202406,6001 - 7000,53.0,53.0
202406,7001 - 7500,65.0,60.0
202406,7501 - 8000,,
202406,8001 - 9000,3.0,3.0
202406,9001 - 10000,2.0,2.0
202406,10001 - 12000,4.0,4.0
202406,12001 - 14000,,
202406,14001 - 16000,9.0,9.0
202406,16001 - 18000,,
202406,18001 - 20000,,
202406,20001 - 22000,,
202406,22001 - 24000,,
202406,24001 - 26000,,
202406,26001 - 28000,,
202406,28001 - 30000,,
202406,30001 - 40000,,
202406,40001 - 50000,,
202406,50001 UND MEHR,,
202406,UNBEKANNT,24.0,24.0
202407,BIS 500,,
202407,501 - 800,,
202407,801 - 1000,5.0,
202407,1001 - 1200,1.0,
202407,1201 - 1400,5083.0,
202407,1401 - 1700,31057.0,
202407,1701 - 2000,67122.0,
202407,2001 - 2500,81215.0,4.0
202407,2501 - 2800,24553.0,64.0
202407,2801 - 3000,10375.0,173.0
202407,3001 - 3500,17278.0,5582.0
202407,3501 - 4000,359.0,338.0
202407,4001 - 5000,959.0,852.0
202407,5001 - 6000,133.0,103.0
202407,6001 - 7000,23.0,22.0
202407,7001 - 7500,62.0,60.0
202407,7501 - 8000,,
202407,8001 - 9000,,
202407,9001 - 10000,3.0,3.0
202407,10001 - 12000,7.0,7.0
202407,12001 - 14000,,
202407,14001 - 16000,6.0,6.0
202407,16001 - 18000,,
202407,18001 - 20000,,
202407,20001 - 22000,,
202407,22001 - 24000,,
202407,24001 - 26000,,
202407,26001 - 28000,,
202407,28001 - 30000,,
202407,30001 - 40000,,
202407,40001 - 50000,,
202407,50001 UND MEHR,,
202407,UNBEKANNT,22.0,21.0
202408,BIS 500,,
202408,501 - 800,,
202408,801 - 1000,3.0,
202408,1001 - 1200,11.0,
202408,1201 - 1400,3989.0,
202408,1401 - 1700,28499.0,
202408,1701 - 2000,56334.0,1.0
202408,2001 - 2500,65955.0,11.0
202408,2501 - 2800,21323.0,35.0
202408,2801 - 3000,7162.0,161.0
202408,3001 - 3500,12754.0,4181.0
202408,3501 - 4000,305.0,300.0
202408,4001 - 5000,799.0,733.0
202408,5001 - 6000,109.0,73.0
202408,6001 - 7000,10.0,9.0
202408,7001 - 7500,48.0,46.0
202408,7501 - 8000,,
202408,8001 - 9000,4.0,4.0
202408,9001 - 10000,2.0,2.0
202408,10001 - 12000,2.0,2.0
202408,12001 - 14000,,
202408,14001 - 16000,6.0,6.0
202408,16001 - 18000,,
202408,18001 - 20000,,
202408,20001 - 22000,,
202408,22001 - 24000,,
202408,24001 - 26000,,
202408,26001 - 28000,,
202408,28001 - 30000,,
202408,30001 - 40000,,
202408,40001 - 50000,,
202408,50001 UND MEHR,,
202408,UNBEKANNT,7.0,6.0
202409,BIS 500,,
202409,501 - 800,,
202409,801 - 1000,1.0,
202409,1001 - 1200,,
202409,1201 - 1400,4032.0,
202409,1401 - 1700,27304.0,
202409,1701 - 2000,56503.0,
202409,2001 - 2500,72688.0,11.0
202409,2501 - 2800,26439.0,29.0
202409,2801 - 3000,9326.0,207.0
202409,3001 - 3500,11559.0,3474.0
202409,3501 - 4000,237.0,228.0
202409,4001 - 5000,613.0,538.0
202409,5001 - 6000,95.0,58.0
202409,6001 - 7000,10.0,9.0
202409,7001 - 7500,22.0,21.0
202409,7501 - 8000,,
202409,8001 - 9000,,
202409,9001 - 10000,,
202409,10001 - 12000,2.0,2.0
202409,12001 - 14000,2.0,2.0
202409,14001 - 16000,3.0,2.0
202409,16001 - 18000,,
202409,18001 - 20000,,
202409,20001 - 22000,,
202409,22001 - 24000,,
202409,24001 - 26000,,
202409,26001 - 28000,,
202409,28001 - 30000,,
202409,30001 - 40000,,
202409,40001 - 50000,,
202409,50001 UND MEHR,,
202409,UNBEKANNT,12.0,12.0
202410,BIS 500,,
202410,501 - 800,,
202410,801 - 1000,3.0,
202410,1001 - 1200,,
202410,1201 - 1400,4500.0,
202410,1401 - 1700,28538.0,
202410,1701 - 2000,64711.0,
202410,2001 - 2500,78667.0,18.0
202410,2501 - 2800,28541.0,34.0
202410,2801 - 3000,12140.0,224.0
202410,3001 - 3500,13843.0,3434.0
202410,3501 - 4000,250.0,243.0
202410,4001 - 5000,616.0,535.0
202410,5001 - 6000,108.0,82.0
202410,6001 - 7000,12.0,12.0
202410,7001 - 7500,43.0,42.0
202410,7501 - 8000,,
202410,8001 - 9000,,
202410,9001 - 10000,,
202410,10001 - 12000,2.0,2.0
202410,12001 - 14000,,
202410,14001 - 16000,3.0,3.0
202410,16001 - 18000,,
202410,18001 - 20000,,
202410,20001 - 22000,,
202410,22001 - 24000,,
202410,24001 - 26000,,
202410,26001 - 28000,,
202410,28001 - 30000,,
202410,30001 - 40000,,
202410,40001 - 50000,,
202410,50001 UND MEHR,,
202410,UNBEKANNT,15.0,14.0
202411,BIS 500,,
202411,501 - 800,,
202411,801 - 1000,5.0,
202411,1001 - 1200,,
202411,1201 - 1400,5349.0,
202411,1401 - 1700,30426.0,
202411,1701 - 2000,65625.0,
202411,2001 - 2500,83404.0,17.0
202411,2501 - 2800,32044.0,32.0
202411,2801 - 3000,12685.0,107.0
202411,3001 - 3500,14054.0,2772.0
202411,3501 - 4000,197.0,186.0
202411,4001 - 5000,585.0,491.0
202411,5001 - 6000,100.0,56.0
202411,6001 - 7000,8.0,8.0
202411,7001 - 7500,44.0,44.0
202411,7501 - 8000,,
202411,8001 - 9000,,
202411,9001 - 10000,1.0,1.0
202411,10001 - 12000,4.0,3.0
202411,12001 - 14000,2.0,2.0
202411,14001 - 16000,1.0,1.0
202411,16001 - 18000,,
202411,18001 - 20000,,
202411,20001 - 22000,,
202411,22001 - 24000,,
202411,24001 - 26000,,
202411,26001 - 28000,,
202411,28001 - 30000,,
202411,30001 - 40000,,
202411,40001 - 50000,,
202411,50001 UND MEHR,,
202411,UNBEKANNT,10.0,9.0
202412,BIS 500,,
202412,501 - 800,,
202412,801 - 1000,5.0,
202412,1001 - 1200,,
202412,1201 - 1400,5102.0,
202412,1401 - 1700,26970.0,
202412,1701 - 2000,58437.0,
202412,2001 - 2500,77617.0,22.0
202412,2501 - 2800,29318.0,17.0
202412,2801 - 3000,12576.0,164.0
202412,3001 - 3500,13919.0,2209.0
202412,3501 - 4000,152.0,149.0
202412,4001 - 5000,455.0,380.0
202412,5001 - 6000,91.0,41.0
202412,6001 - 7000,14.0,13.0
202412,7001 - 7500,49.0,47.0
202412,7501 - 8000,4.0,4.0
202412,8001 - 9000,1.0,1.0
202412,9001 - 10000,,
202412,10001 - 12000,1.0,1.0
202412,12001 - 14000,1.0,
202412,14001 - 16000,,
202412,16001 - 18000,,
202412,18001 - 20000,,
202412,20001 - 22000,,
202412,22001 - 24000,,
202412,24001 - 26000,,
202412,26001 - 28000,,
202412,28001 - 30000,,
202412,30001 - 40000,,
202412,40001 - 50000,,
202412,50001 UND MEHR,,
202412,UNBEKANNT,9.0,9.0
202501,BIS 500,,
202501,501 - 800,,
202501,801 - 1000,,
202501,1001 - 1200,,
202501,1201 - 1400,4016.0,
202501,1401 - 1700,23466.0,
202501,1701 - 2000,52523.0,
202501,2001 - 2500,72201.0,14.0
202501,2501 - 2800,28879.0,18.0
202501,2801 - 3000,11620.0,192.0
202501,3001 - 3500,14108.0,2644.0
202501,3501 - 4000,171.0,160.0
202501,4001 - 5000,498.0,423.0
202501,5001 - 6000,79.0,54.0
202501,6001 - 7000,5.0,5.0
202501,7001 - 7500,46.0,44.0
202501,7501 - 8000,,
202501,8001 - 9000,,
202501,9001 - 10000,1.0,1.0
202501,10001 - 12000,2.0,2.0
202501,12001 - 14000,,
202501,14001 - 16000,,
202501,16001 - 18000,,
202501,18001 - 20000,,
202501,20001 - 22000,,
202501,22001 - 24000,,
202501,24001 - 26000,,
202501,26001 - 28000,,
202501,28001 - 30000,,
202501,30001 - 40000,,
202501,40001 - 50000,,
202501,50001 UND MEHR,,
202501,UNBEKANNT,25.0,25.0
202502,BIS 500,,
202502,501 - 800,,
202502,801 - 1000,4.0,
202502,1001 - 1200,,
202502,1201 - 1400,3943.0,
202502,1401 - 1700,22431.0,
202502,1701 - 2000,49602.0,
202502,2001 - 2500,72567.0,12.0
202502,2501 - 2800,29136.0,34.0
202502,2801 - 3000,11459.0,202.0
202502,3001 - 3500,13144.0,3445.0
202502,3501 - 4000,218.0,211.0
202502,4001 - 5000,704.0,645.0
202502,5001 - 6000,128.0,72.0
202502,6001 - 7000,11.0,9.0
202502,7001 - 7500,63.0,62.0
202502,7501 - 8000,,
202502,8001 - 9000,1.0,1.0
202502,9001 - 10000,1.0,1.0
202502,10001 - 12000,7.0,7.0
202502,12001 - 14000,2.0,2.0
202502,14001 - 16000,6.0,6.0
202502,16001 - 18000,,
202502,18001 - 20000,,
202502,20001 - 22000,,
202502,22001 - 24000,,
202502,24001 - 26000,,
202502,26001 - 28000,,
202502,28001 - 30000,,
202502,30001 - 40000,,
202502,40001 - 50000,,
202502,50001 UND MEHR,,
202502,UNBEKANNT,7.0,7.0
202503,BIS 500,,
202503,501 - 800,1.0,
202503,801 - 1000,2.0,
202503,1001 - 1200,1.0,
202503,1201 - 1400,4711.0,
202503,1401 - 1700,28653.0,
202503,1701 - 2000,63956.0,
202503,2001 - 2500,90579.0,14.0
202503,2501 - 2800,34069.0,43.0
202503,2801 - 3000,12480.0,272.0
202503,3001 - 3500,17343.0,6058.0
202503,3501 - 4000,345.0,330.0
202503,4001 - 5000,1090.0,977.0
202503,5001 - 6000,150.0,110.0
202503,6001 - 7000,13.0,13.0
202503,7001 - 7500,77.0,75.0
202503,7501 - 8000,,
202503,8001 - 9000,,
202503,9001 - 10000,,
202503,10001 - 12000,6.0,6.0
202503,12001 - 14000,1.0,1.0
202503,14001 - 16000,2.0,2.0
202503,16001 - 18000,,
202503,18001 - 20000,,
202503,20001 - 22000,,
202503,22001 - 24000,,
202503,24001 - 26000,,
202503,26001 - 28000,,
